source_id,category,provider,endpoint,access_mode,auth,claimed_connected,evidence,evidence_exists,temporal_coverage,key_variables,license_risk,redistribution_allowed,authorization_risk
nasa_oceancolor,remote_sensing,NASA Ocean Biology DAAC,https://oceandata.sci.gsfc.nasa.gov/,HTTPS_API,Earthdata-login,False,,False,mission-dependent,"chlorophyll_a,remote_sensing_reflectance,quality_flags",inland-turbid-water-validity-risk,conditional,True
usgs_landsat_c2_l2,remote_sensing,USGS,https://m2m.cr.usgs.gov/,M2M_API,EarthExplorer-account-token,False,,False,1982-present,"surface_reflectance,QA_PIXEL,water_temperature_if_available",USGS-data-policy,pending_review,True
china_gaofen_cpeos,remote_sensing,国家遥感数据与应用服务平台,https://www.cpeos.org.cn/dataSearch3D/,REGISTERED_ORDER,account-and-order,False,,False,mission-dependent,"multispectral,hyperspectral",order-and-use-terms,pending_review,True
esa_lakes_cci,remote_sensing,ESA Climate Change Initiative,https://climate.esa.int/en/catalogue/a56dba09df8a42ec9fba8b8c7a5e1f69/,REGISTERED_FILE,CEDA-account,False,,False,1992-2023,"lake_water_level,extent,surface_temperature,reflectance,storage_change",coverage-must-be-verified,pending_review,True
cma_surface_3hour,meteorology,中国气象数据网,https://k.data.cma.cn/mekb/?dataCode=A.0012.0001&r=data%2Fdetail,REGISTERED_DOWNLOAD,real-name-education-or-research,False,,False,current-rolling,"air_temperature,pressure,humidity,wind,precipitation",account-and-purpose-limits,pending_review,True
cma_cldas,meteorology,中国气象数据网,https://data.cma.cn/,REGISTERED_DOWNLOAD,real-name-account,False,,False,2008-present,"temperature,precipitation,humidity,wind,shortwave_radiation,soil_moisture",account-and-data-policy,pending_review,True
cma_daily_history,meteorology,中国气象数据网,https://m.data.cma.cn/data/detail/dataCode/SURF_CLI_CHN_MUL_DAY_V3.0.html,REGISTERED_DOWNLOAD,real-name-education-or-research,False,,False,1951-present,"temperature,precipitation,wind,humidity,sunshine",account-and-purpose-limits,pending_review,True
ecmwf_open_ifs_aifs,meteorology,ECMWF,https://data.ecmwf.int/forecasts/,OPEN_OBJECT_API,none,False,,False,rolling,"2m_temperature,precipitation,10m_wind,shortwave_radiation,cloud,pressure",open-data-terms,pending_review,False
era5_land,meteorology,Copernicus Climate Data Store,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land?tab=download,CDS_API,CDS-account-key,False,,False,1950-present,"temperature,precipitation,wind,radiation,evaporation,soil_moisture",CDS-license,pending_review,True
c3s_seasonal,meteorology,Copernicus Climate Data Store,https://www.ecmwf.int/en/forecasts/dataset/c3s-seasonal-forecasts,CDS_API,CDS-account-key,False,,False,1993-present,"temperature,precipitation,wind,radiation,ensemble_members",CDS-license-and-bias,pending_review,True
noaa_gfs,meteorology,NOAA NCEP,https://nomads.ncep.noaa.gov/,HTTP_GRIB_FILTER,none,True,storage\manifests\noaa_gfs_20260818_18z.json,True,rolling,"temperature,precipitation,wind,cloud,radiation,pressure",open-US-government-data,pending_review,False
nasa_power,meteorology,NASA,https://power.larc.nasa.gov/api/temporal/daily/point,REST_API,none,False,,False,1981-present,"temperature,precipitation,wind,solar_radiation,humidity",NASA-data-policy,conditional,False
gpm_imerg,meteorology,NASA GPM,https://gpm.nasa.gov/data/imerg,EARTHDATA_API,Earthdata-or-PPS-account,False,,False,2000-present,"precipitation,quality_index",NASA-data-policy,conditional,True
open_meteo_dev,meteorology,Open-Meteo,https://api.open-meteo.com/v1/forecast,REST_API,none,False,,False,rolling,"temperature,precipitation,wind,radiation,cloud",service-availability-and-not-final-authoritative,conditional,False
tba_current_level,hydrology,水利部太湖流域管理局,https://www.tba.gov.cn/,HTML_PUBLIC,none,False,,False,current,"water_level,station,time",public-page-no-documented-api,pending_review,False
tba_reports,hydrology,水利部太湖流域管理局,https://www.tba.gov.cn/,FILE_PUBLIC,none,False,,False,historical,"water_level,runoff,precipitation,dispatch,water_quality_summary",public-document-parser-risk,pending_review,False
mwr_hfc,hydrology,水利部,https://hfc.mwr.cn/,HTML_PUBLIC,none,False,,False,current,"water_level,rainfall,discharge_if_published",public-page-no-documented-api,pending_review,False
glofas_forecast,hydrology,Copernicus Emergency Management Service,https://ewds.climate.copernicus.eu/datasets/cems-glofas-forecast?tab=download,EWDS_API,EWDS-account-key,False,,False,rolling,"river_discharge,runoff,ensemble_members",not-for-time-critical-use-and-local-validity,pending_review,True
grdc,hydrology,Global Runoff Data Centre,https://grdc.bafg.de/data/data_portal/,REQUEST_DOWNLOAD,research-request,False,,False,historical,"discharge,station_metadata",research-only-and-no-redistribution,pending_review,True
clms_lake_level,hydrology,Copernicus Land Monitoring Service,https://land.copernicus.eu/en/products/water-bodies,FILE_OR_SENTINEL_HUB,account-may-be-required,False,,False,1992-present,"lake_water_level,quality_flags",Taihu-coverage-must-be-verified,conditional,True
hydrolakes,static_geo,HydroSHEDS,https://www.hydrosheds.org/products/hydrolakes,FILE_DIRECT,none,False,,False,static,"lake_boundary,area,depth_estimate,volume,residence_time",CC-BY-4.0,yes,False
hydrobasins,static_geo,HydroSHEDS,https://www.hydrosheds.org/products/hydrobasins,FILE_DIRECT,none,False,,False,static,"basin_id,upstream_area,topology",HydroSHEDS-license,yes,False
esa_worldcover,static_geo,ESA,https://esa-worldcover.org/en/data-access,FILE_DIRECT,none,False,,False,2020-2021,"land_cover_class,water_mask",CC-BY-4.0,yes,False
copernicus_dem,static_geo,Copernicus Data Space,https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,ODATA_OR_S3,CDSE-account,False,,False,static,"elevation,slope,flow_direction_derived",Copernicus-license,conditional,True
jrc_global_surface_water,static_geo,European Commission JRC,https://global-surface-water.appspot.com/download,FILE_OR_GEE,none,False,,False,1984-2021,"water_occurrence,seasonality,change",Copernicus/JRC-use-terms,conditional,False
bst_oli_code,algorithm,GitHub/zgcao,https://github.com/zgcao/bst_oli,GIT_CLONE,none,False,,False,published-model,"chlorophyll_a_retrieval,band_features,model",MIT,yes,False
copernicus_sentinel2_stac,remote_sensing,Copernicus Data Space Ecosystem,https://stac.dataspace.copernicus.eu/v1/search,STAC_API_PUBLIC_SEARCH,catalog-query-no-token-product-download-oauth,False,,False,2015-present,"B04,B05,B08,SCL,scene_id,acquisition_at,cloud_probability",Copernicus-free-use-and-product-download-terms,conditional,True
nasa_power_hourly,meteorology,NASA POWER,https://power.larc.nasa.gov/api/temporal/hourly/point,REST_API,none,True,storage\manifests\nasa_power_history_2005_2020.json,True,1981-present,"T2M,WS10M,WD10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN",NASA-data-policy,conditional,False
taihu_thqbca_zenodo,integrated,Scientific Data/Zenodo,https://zenodo.org/api/records/13917285,API_FILE_DIRECT,none,True,storage\manifests\thqbca_integrated_cleaning_v2.json,True,historical,"water_quality,phytoplankton_biomass,phytoplankton_number,climate,water_level,chlorophyll_a,SDD,TSI",CC-license-check-record,pending_review,False
open_meteo_forecast,meteorology_forecast,Open-Meteo,https://api.open-meteo.com/v1/forecast,REST_API,none,False,,False,rolling,"temperature_2m,wind_speed_10m,wind_direction_10m,precipitation,shortwave_radiation",service-availability-and-attribution,conditional,False
mee_water_station_protocol,water_quality,生态环境部,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/jcffbz/202501/t20250126_1101554.shtml,STANDARD,station-gateway-credentials,False,,False,2025-present,"station_id,time,parameter_code,value,status,chlorophyll_a,algae_density",open-standard-but-station-permission-required,pending_review,True
tba_taihu_portal,hydrology,水利部太湖流域管理局,https://www.tba.gov.cn/,HTML_PUBLIC,none-for-public-page,False,,False,current,"water_level,inflow_discharge,outflow_discharge,flow_velocity",public-page-no-documented-api,pending_review,True
niglas_lake_geodata,taihu_water_quality_remote_sensing_reference,NIGLAS/NESDC Lake-Watershed data center,https://lake.geodata.cn/feature.html,ORDER_PORTAL,login-or-order,False,,False,historical,"chlorophyll_a,algae_density,water_temperature,remote_bloom_area_km2,bloom_flag,meteorology",metadata-public-data-order-and-reuse-review,pending_review,True
earth_search_sentinel2_l2a,remote_sensing,Element 84/AWS Open Data,https://earth-search.aws.element84.com/v1/search,STAC_COG_PUBLIC,none,True,storage\manifests\earth_search_sentinel2_202608.json,True,2015-present,"B02,B03,B04,B05,B08,B11,SCL,NDCI,MCI,FAI",Copernicus-Sentinel-terms,conditional,False
zenodo_taihu_insitu_10434391,calibration,Zenodo/NIGLAS,https://zenodo.org/api/records/10434391,API_FILE_DIRECT,none,True,storage\manifests\zenodo_taihu_insitu.json,True,2020-2023,"chlorophyll_a,TSM,SDD,water_temperature,Rrs490,Rrs560,Rrs665,Rrs705,Rrs842",record-specific-license-review,pending_review,False
open_meteo_ecmwf_seas5,seasonal_forecast,Open-Meteo/ECMWF,https://seasonal-api.open-meteo.com/v1/seasonal,REST_API,none,True,storage\raw\open_meteo_seasonal\manifest.json,True,current-90-days,"temperature_2m,precipitation_sum,shortwave_radiation_sum,wind_speed_10m,ensemble_p10,p90",Open-Meteo-attribution-and-upstream-terms,conditional,False
