task_id,variant,指标,horizon_days,month_offset,时间配对性质,未来目标真实性,trainable,train_rows,validation_rows,test_rows,label_provenance_observed,标签非空行数,标签月份覆盖,标签站点数,阳性行数,gate_status,证据文件,run_id,selected_family
T1,bloom,水华发生(二分类),1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-0m-s20260907,random_forest
T2,coverage,水华覆盖率,30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,False,0,0,37,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T2,coverage,水华覆盖率,60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,False,0,0,37,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T2,coverage,水华覆盖率,90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,False,0,0,37,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T3,density,蓝藻密度(秩代理),1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T3-density-0m-s20260907-cv,residual
T3,density,蓝藻密度(秩代理),3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T3-density-0m-s20260907-cv,residual
T3,density,蓝藻密度(秩代理),7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T3-density-0m-s20260907-cv,residual
T3,density,蓝藻密度(秩代理),15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T3-density-0m-s20260907-cv,residual
T3,density,蓝藻密度(秩代理),30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T3,density,蓝藻密度(秩代理),60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T3,density,蓝藻密度(秩代理),90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,0,proxy_derived,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T3-density-3m-s20260907-cv,climatology_global
T4,biomass,蓝藻生物量,1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T4-biomass-0m-s20260907-cv,constrained_blend
T4,biomass,蓝藻生物量,3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T4-biomass-0m-s20260907-cv,constrained_blend
T4,biomass,蓝藻生物量,7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T4-biomass-0m-s20260907-cv,constrained_blend
T4,biomass,蓝藻生物量,15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,576,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T4-biomass-0m-s20260907-cv,constrained_blend
T4,biomass,蓝藻生物量,30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T4,biomass,蓝藻生物量,60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T4,biomass,蓝藻生物量,90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,0,ground_truth,576.0,2005-02-2020-11,9.0,,PASS,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T4-biomass-3m-s20260907-cv,climatology_global
T5,chla,叶绿素a,1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T5-chla-0m-s20260907-cv,mechanism_feature
T5,chla,叶绿素a,3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T5-chla-0m-s20260907-cv,mechanism_feature
T5,chla,叶绿素a,7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T5-chla-0m-s20260907-cv,mechanism_feature
T5,chla,叶绿素a,15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T5-chla-0m-s20260907-cv,mechanism_feature
T5,chla,叶绿素a,30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth_or_proxy,618.0,2005-02-2026-08,11.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T5,chla,叶绿素a,60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth_or_proxy,618.0,2005-02-2026-08,11.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T5,chla,叶绿素a,90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,0,chla_station_proxy_v1,618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T5-chla-3m-s20260907-cv,random_forest
T6,probability,水华概率,1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-0m-s20260907,random_forest
T6,probability,水华概率,3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-0m-s20260907,random_forest
T6,probability,水华概率,7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-0m-s20260907,random_forest
T6,probability,水华概率,15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-0m-s20260907,random_forest
T6,probability,水华概率,30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,NA,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-1m-s20260907-cv,persistence
T6,probability,水华概率,60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,NA,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-2m-s20260907-cv,persistence
T6,probability,水华概率,90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-probability-3m-s20260907-cv,climatology_global
T6,risk_level,风险等级,1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-risk_level-0m-s20260907-cv,simple_baseline
T6,risk_level,风险等级,3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-risk_level-0m-s20260907-cv,simple_baseline
T6,risk_level,风险等级,7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-risk_level-0m-s20260907-cv,simple_baseline
T6,risk_level,风险等级,15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,1,mixed(chla_station_proxy_v1|ground_truth),618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-risk_level-0m-s20260907-cv,simple_baseline
T6,risk_level,风险等级,30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth_or_proxy,618.0,2005-02-2026-08,11.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T6,risk_level,风险等级,60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,0,ground_truth_or_proxy,618.0,2005-02-2026-08,11.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T6,risk_level,风险等级,90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,0,chla_station_proxy_v1,618.0,2005-02-2026-08,11.0,,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T6-risk_level-3m-s20260907-cv,simple_baseline
T7,spatial,空间范围,1,0,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,3,0,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,7,0,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,15,0,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,30,1,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,60,2,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T7,spatial,空间范围,90,3,none,无标签,False,0,0,0,none,,,,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
