source_id,category,provider,dataset,access_mode,endpoint_or_url,auth,temporal_coverage,update_frequency,spatial_resolution,key_variables,horizon_role,license_risk,verification,priority,next_action,automation_status,license_tag,redistribution_allowed,commercial_use,attribution_text,authorization_evidence_path
suzhou_open_data,water_quality,苏州市公共数据开放平台,苏州环太湖水环境数据目录,PORTAL_API_APPLICATION,https://www.suzhou.gov.cn/szsrmzf/zfwj/202309/9ca88b1e06c14b17996804de32cc3b11.shtml,account-or-application,current-and-historical,varies,station,"candidate_station_water_quality,hydrology",all,conditional-open-data,V3_candidate,P2,从开放目录申请具体数据集而非抓取政务后台,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/suzhou_open_data.json
cdse_sentinel2_l2a,remote_sensing,Copernicus Data Space Ecosystem,Sentinel-2 L2A,STAC_API_OAUTH,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-2-l2a,optional-for-search-required-for-download,2015-present,nominal-5-day,10m-20m,"B02,B03,B04,B05,B08,B8A,B11,SCL",1-3d-state;7-15d-trend;targets,Copernicus-free-use,V1_live,P0,迁移旧STAC端点；按太湖bbox增量检索并下载窗口/COG,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/cdse_sentinel2_l2a.json
cdse_sentinel3_olci_l2,remote_sensing,Copernicus Data Space Ecosystem,Sentinel-3 OLCI L2 Water,SENTINEL_HUB_API,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/S3OLCIL2.html,OAuth,2016-present,near-daily,300m,"water_leaving_reflectance,chlorophyll_related_bands,quality_flags",1-3d-state;7-15d-trend,Copernicus-free-use,V2_official,P1,注册OAuth客户端并验证太湖Process API样例,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/cdse_sentinel3_olci_l2.json
clms_lwq_nrt_300m_v2,remote_sensing,Copernicus Land Monitoring Service,Lake Water Quality NRT Global 300m 10-daily V2,SENTINEL_HUB_BYOC,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/clms/bio-geophysical-parameters/water-bodies/lake-water-quality/lwq-nrt_global_300m_10daily_v2.html,OAuth,2024-present,10-day-NRT,300m,"CHLAMEAN,CHLAUNC,FCBPROB,water_leaving_reflectance",1-3d-latest-state;7-15d;target-proxy,Copernicus-free-use,V1_live,P0,使用BYOC collection 5c2c9b2c-2893-41d9-b2bc-fbd6e5b8b31d按太湖裁剪；不得下载全球整景,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/clms_lwq_nrt_300m_v2.json
clms_lwq_catalog,remote_sensing,Copernicus Land Monitoring Service,Lake Water Quality Catalogue CSV,FILE_DIRECT,https://csv.dataspace.copernicus.eu/CLMS/bio-geophysical/lake_water_quality/,none,2002-present,per-product,global-catalog,"product_date,s3_path,size,product_metadata",discovery-index,Copernicus-free-use,V1_live,P0,每日拉取CSV目录并按产品日期去重,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/clms_lwq_catalog.json
nasa_lance_modis_viirs,remote_sensing,NASA LANCE,MODIS/VIIRS Near Real-Time,HTTPS_API,https://lance4.modaps.eosdis.nasa.gov/,Earthdata-token,2000-present,near-real-time-about-hours,375m-1km,"surface_reflectance,cloud_mask,thermal_or_ocean_color_products",1-3d-backup;7-15d-trend,NASA-data-policy,V2_official,P1,申请Earthdata token并仅选太湖瓦片,registry_only_not_implemented,NASA_terms_review,conditional,conditional,NASA Earthdata product; cite product provider and verify current NASA terms before redistribution,storage/manifests/authorizations/nasa_lance_modis_viirs.json
nasa_oceancolor,remote_sensing,NASA Ocean Biology DAAC,OceanColor Level-2/3 chlorophyll,HTTPS_API,https://oceandata.sci.gsfc.nasa.gov/,Earthdata-login,mission-dependent,daily-to-monthly,mission-dependent,"chlorophyll_a,remote_sensing_reflectance,quality_flags",historical-and-backup,inland-turbid-water-validity-risk,V2_official,P2,先做太湖浑浊水体验证；不直接当真值,registry_only_not_implemented,NASA_terms_review,conditional,conditional,NASA Earthdata product; cite product provider and verify current NASA terms before redistribution,storage/manifests/authorizations/nasa_oceancolor.json
usgs_landsat_c2_l2,remote_sensing,USGS,Landsat Collection 2 Level-2,M2M_API,https://m2m.cr.usgs.gov/,EarthExplorer-account-token,1982-present,16-day-per-satellite,30m,"surface_reflectance,QA_PIXEL,water_temperature_if_available",historical-retrieval-and-validation,USGS-data-policy,V2_official,P1,注册M2M并复用bst_oli叶绿素反演代码做基线,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/usgs_landsat_c2_l2.json
china_gaofen_cpeos,remote_sensing,国家遥感数据与应用服务平台,高分一号/五号/六号数据,REGISTERED_ORDER,https://www.cpeos.org.cn/dataSearch3D/,account-and-order,mission-dependent,mission-dependent,submeter-to-30m,"multispectral,hyperspectral",high-resolution-case-study,order-and-use-terms,V2_official,P2,仅作为答辩增强；先确认科研免费配额与交付周期,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/china_gaofen_cpeos.json
esa_lakes_cci,remote_sensing,ESA Climate Change Initiative,Lakes CCI v3,REGISTERED_FILE,https://climate.esa.int/en/catalogue/a56dba09df8a42ec9fba8b8c7a5e1f69/,CEDA-account,1992-2023,variable,global-lake-products,"lake_water_level,extent,surface_temperature,reflectance,storage_change",30-90d;climatology,coverage-must-be-verified,V2_official,P2,先检查Taihu lake_id与覆盖再下载,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/esa_lakes_cci.json
cma_surface_3hour,meteorology,中国气象数据网,中国地面气象基本观测3小时数据,REGISTERED_DOWNLOAD,https://k.data.cma.cn/mekb/?dataCode=A.0012.0001&r=data%2Fdetail,real-name-education-or-research,current-rolling,3-hour-with-about-2-day-lag,station,"air_temperature,pressure,humidity,wind,precipitation",7-15d-features;verification,account-and-purpose-limits,V2_official,P1,用学生证明实名申请；记录站点和文件批次,registry_only_not_implemented,CMA_account_terms_review,pending_review,pending_review,China Meteorological Administration data service; account and usage terms require review,storage/manifests/authorizations/cma_surface_3hour.json
cma_cldas,meteorology,中国气象数据网,CLDAS陆面同化产品,REGISTERED_DOWNLOAD,https://data.cma.cn/,real-name-account,2008-present,near-real-time,0.0625-degree,"temperature,precipitation,humidity,wind,shortwave_radiation,soil_moisture",1-3d-state;7-15d,account-and-data-policy,V2_official,P1,登录后按太湖bbox申请变量与时段,config_only_pending_adapter,CMA_account_terms_review,pending_review,pending_review,China Meteorological Administration data service; account and usage terms require review,storage/manifests/authorizations/cma_cldas.json
cma_daily_history,meteorology,中国气象数据网,中国地面气候资料日值V3.0,REGISTERED_DOWNLOAD,https://m.data.cma.cn/data/detail/dataCode/SURF_CLI_CHN_MUL_DAY_V3.0.html,real-name-education-or-research,1951-present,daily,824-stations,"temperature,precipitation,wind,humidity,sunshine",historical-training,account-and-purpose-limits,V2_official,P1,申请太湖周边站长期日值,registry_only_not_implemented,CMA_account_terms_review,pending_review,pending_review,China Meteorological Administration data service; account and usage terms require review,storage/manifests/authorizations/cma_daily_history.json
ecmwf_open_ifs_aifs,meteorology,ECMWF,Open Data IFS/AIFS forecast,OPEN_OBJECT_API,https://data.ecmwf.int/forecasts/,none,rolling,4-runs-per-day,0.25-degree,"2m_temperature,precipitation,10m_wind,shortwave_radiation,cloud,pressure",1-3d;7-15d,open-data-terms,V2_official,P0,实现ecmwf-opendata适配器并保留run_time/lead_time/member,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/ecmwf_open_ifs_aifs.json
era5_land,meteorology,Copernicus Climate Data Store,ERA5-Land hourly,CDS_API,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land?tab=download,CDS-account-key,1950-present,monthly-release-hourly-values,0.1-degree,"temperature,precipitation,wind,radiation,evaporation,soil_moisture",historical-training-and-gap-reference,CDS-license,V2_official,P1,注册CDS并接受许可；按年分块下载太湖bbox,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/era5_land.json
c3s_seasonal,meteorology,Copernicus Climate Data Store,C3S seasonal forecasts,CDS_API,https://www.ecmwf.int/en/forecasts/dataset/c3s-seasonal-forecasts,CDS-account-key,1993-present,monthly,1-degree-or-system-specific,"temperature,precipitation,wind,radiation,ensemble_members",30-90d,CDS-license-and-bias,V2_official,P0,下载hindcast和forecast；做成员统计、偏差订正与概率特征,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/c3s_seasonal.json
noaa_gfs,meteorology,NOAA NCEP,GFS 0.25 degree forecast,HTTP_GRIB_FILTER,https://nomads.ncep.noaa.gov/,none,rolling,6-hour-runs,0.25-degree,"temperature,precipitation,wind,cloud,radiation,pressure",1-3d;7-15d-backup,open-US-government-data,V1_live,P1,按bbox和变量用filter_gfs_0p25.pl下载；不拉整球GRIB,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/noaa_gfs.json
nasa_power,meteorology,NASA,NASA POWER point/regional API,REST_API,https://power.larc.nasa.gov/api/temporal/daily/point,none,1981-present,daily,0.5-degree-class,"temperature,precipitation,wind,solar_radiation,humidity",historical-training-and-gap-reference,NASA-data-policy,V1_live,P0,现有适配器继续使用并增加原始响应归档,registry_only_not_implemented,NASA_terms_review,conditional,conditional,NASA Earthdata product; cite product provider and verify current NASA terms before redistribution,storage/manifests/authorizations/nasa_power.json
gpm_imerg,meteorology,NASA GPM,IMERG precipitation,EARTHDATA_API,https://gpm.nasa.gov/data/imerg,Earthdata-or-PPS-account,2000-present,30-minute-early-run-about-4h-latency,0.1-degree,"precipitation,quality_index",1-3d-state;7-15d-antecedent-rainfall,NASA-data-policy,V2_official,P1,申请Earthdata；优先OPeNDAP/子集而非整文件,adapter_ready_auth_blocked,NASA_terms_review,conditional,conditional,NASA Earthdata product; cite product provider and verify current NASA terms before redistribution,storage/manifests/authorizations/gpm_imerg.json
open_meteo_dev,meteorology,Open-Meteo,Forecast API development proxy,REST_API,https://api.open-meteo.com/v1/forecast,none,rolling,hourly,model-dependent,"temperature,precipitation,wind,radiation,cloud",development-only-1-15d,service-availability-and-not-final-authoritative,V1_live,P2,仅开发兜底；生产替换为ECMWF/CMA/NOAA,registry_only_not_implemented,Open-Meteo_terms_review,conditional,conditional,Open-Meteo API and underlying providers; comply with current terms and attribution,storage/manifests/authorizations/open_meteo_dev.json
tba_current_level,hydrology,水利部太湖流域管理局,太湖及代表站当前水位,HTML_PUBLIC,https://www.tba.gov.cn/,none,current,daily-or-page-update,station,"water_level,station,time",all-lag-features,public-page-no-documented-api,V1_live,P0,合规低频抓取页面并保存HTML证据；解析漂移报警,registry_only_not_implemented,official_portal_or_standard_terms_review,pending_review,pending_review,"Official portal or national standard; verify access, citation and redistribution terms",storage/manifests/authorizations/tba_current_level.json
tba_reports,hydrology,水利部太湖流域管理局,水情月报年报及太湖流域公报,FILE_PUBLIC,https://www.tba.gov.cn/,none,historical,monthly-to-annual,basin-and-station,"water_level,runoff,precipitation,dispatch,water_quality_summary",30-90d;historical,public-document-parser-risk,V2_official,P1,建立PDF/XLS目录与版本化解析器,registry_only_not_implemented,official_portal_or_standard_terms_review,pending_review,pending_review,"Official portal or national standard; verify access, citation and redistribution terms",storage/manifests/authorizations/tba_reports.json
mwr_hfc,hydrology,水利部,全国水雨情信息公共服务,HTML_PUBLIC,https://hfc.mwr.cn/,none,current,near-real-time,station,"water_level,rainfall,discharge_if_published",1-3d;7-15d,public-page-no-documented-api,V1_live,P1,人工确认太湖站点和条款；无公开接口则仅低频快照或申请,registry_only_not_implemented,official_portal_or_standard_terms_review,pending_review,pending_review,"Official portal or national standard; verify access, citation and redistribution terms",storage/manifests/authorizations/mwr_hfc.json
glofas_forecast,hydrology,Copernicus Emergency Management Service,GloFAS forecasts,EWDS_API,https://ewds.climate.copernicus.eu/datasets/cems-glofas-forecast?tab=download,EWDS-account-key,rolling,daily,0.05-degree,"river_discharge,runoff,ensemble_members",7-15d;30-90d-proxy,not-for-time-critical-use-and-local-validity,V2_official,P1,验证太湖入湖河网格；仅作代理并进行本地校准,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/glofas_forecast.json
grdc,hydrology,Global Runoff Data Centre,GRDC station discharge,REQUEST_DOWNLOAD,https://grdc.bafg.de/data/data_portal/,research-request,historical,daily-or-monthly,station,"discharge,station_metadata",historical-calibration,research-only-and-no-redistribution,V2_official,P2,查询太湖流域站点；如有则提交科研申请,registry_only_not_implemented,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/grdc.json
clms_lake_level,hydrology,Copernicus Land Monitoring Service,Lake Water Level global products,FILE_OR_SENTINEL_HUB,https://land.copernicus.eu/en/products/water-bodies,account-may-be-required,1992-present,daily,tracked-lakes,"lake_water_level,quality_flags",7-15d;30-90d,Taihu-coverage-must-be-verified,V2_official,P2,先查Taihu覆盖与lake_id,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/clms_lake_level.json
hydrolakes,static_geo,HydroSHEDS,HydroLAKES lake polygons and attributes,FILE_DIRECT,https://www.hydrosheds.org/products/hydrolakes,none,static,versioned,lake-polygon,"lake_boundary,area,depth_estimate,volume,residence_time",static-mechanism-features,CC-BY-4.0,V2_official,P1,下载亚洲分区并裁剪太湖；与官方岸线核对,registry_only_not_implemented,CC-BY-4.0,yes,yes,HydroLAKES v1.0; Lehner & Messager (2016); CC-BY-4.0,storage/manifests/authorizations/hydrolakes.json
hydrobasins,static_geo,HydroSHEDS,HydroBASINS catchments,FILE_DIRECT,https://www.hydrosheds.org/products/hydrobasins,none,static,versioned,subbasin,"basin_id,upstream_area,topology",static-load-and-catchment-features,HydroSHEDS-license,V2_official,P1,下载亚洲分区并构建上游关系,registry_only_not_implemented,CC-BY-4.0,yes,yes,HydroBASINS; WWF/HSU; CC-BY-4.0,storage/manifests/authorizations/hydrobasins.json
esa_worldcover,static_geo,ESA,WorldCover 10m 2020/2021,FILE_DIRECT,https://esa-worldcover.org/en/data-access,none,2020-2021,annual-snapshot,10m,"land_cover_class,water_mask",static-load-proxies,CC-BY-4.0,V2_official,P1,按瓦片下载太湖流域并聚合土地利用比例,registry_only_not_implemented,CC-BY-4.0,yes,yes,ESA WorldCover; ESA WorldCover Consortium; CC-BY-4.0,storage/manifests/authorizations/esa_worldcover.json
copernicus_dem,static_geo,Copernicus Data Space,Copernicus DEM GLO-30,ODATA_OR_S3,https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,CDSE-account,static,versioned,30m,"elevation,slope,flow_direction_derived",static-hydrodynamic-and-catchment-features,Copernicus-license,V2_official,P1,下载太湖流域瓦片并派生坡度/汇流特征,registry_only_not_implemented,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/copernicus_dem.json
jrc_global_surface_water,static_geo,European Commission JRC,Global Surface Water,FILE_OR_GEE,https://global-surface-water.appspot.com/download,none,1984-2021,annual-or-monthly,30m,"water_occurrence,seasonality,change",water-mask-and-history,Copernicus/JRC-use-terms,V2_official,P2,用于永久水体掩膜和岸线变化校验,registry_only_not_implemented,JRC_terms_review,conditional,conditional,JRC Global Surface Water; cite JRC/EC and verify current terms,storage/manifests/authorizations/jrc_global_surface_water.json
bst_oli_code,algorithm,GitHub/zgcao,Landsat-8 OLI Taihu chlorophyll-a BST retrieval code,GIT_CLONE,https://github.com/zgcao/bst_oli,none,published-model,versioned,code,"chlorophyll_a_retrieval,band_features,model",retrieval-baseline,MIT,V1_live,P1,固定commit并在本地匹配样本上重新校准,registry_only_not_implemented,MIT,yes,yes,BST-OLI processing code; MIT License,storage/manifests/authorizations/bst_oli_code.json
copernicus_sentinel2_stac,remote_sensing,Copernicus Data Space Ecosystem,Sentinel-2 L2A STAC search,STAC_API_PUBLIC_SEARCH,https://stac.dataspace.copernicus.eu/v1/search,catalog-query-no-token-product-download-oauth,2015-present,periodic-revisit,10m-20m,"B04,B05,B08,SCL,scene_id,acquisition_at,cloud_probability",1-3d-state;7-15d-trend,Copernicus-free-use-and-product-download-terms,V1_live,P0,运行配置已落地；产品资产下载另行验证,runtime_configured,Copernicus_terms_review,conditional,conditional,Copernicus Data Space Ecosystem / Copernicus service; verify current terms and attribution before redistribution,storage/manifests/authorizations/copernicus_sentinel2_stac.json
nasa_power_hourly,meteorology,NASA POWER,NASA POWER hourly point API,REST_API,https://power.larc.nasa.gov/api/temporal/hourly/point,none,1981-present,hourly,0.5-degree-class,"T2M,WS10M,WD10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN",1-3d-forcing;7-15d-trend,NASA-data-policy,V1_live,P0,运行配置已落地；记录产品延迟和时区,runtime_configured,NASA_terms_review,conditional,conditional,NASA Earthdata product; cite product provider and verify current NASA terms before redistribution,storage/manifests/authorizations/nasa_power_hourly.json
taihu_thqbca_zenodo,integrated,Scientific Data/Zenodo,THQBCA Taihu historical time-series dataset,API_FILE_DIRECT,https://zenodo.org/api/records/13917285,none,historical,monthly-to-annual,station-and-grid,"water_quality,phytoplankton_biomass,phytoplankton_number,climate,water_level,chlorophyll_a,SDD,TSI",historical-training-and-calibration,CC-license-check-record,V1_live,P0,运行配置已落地；归档checksum和版本,runtime_configured,Zenodo_record_license_review,pending_review,pending_review,Zenodo record-specific license; inspect record license and author conditions before redistribution,storage/manifests/authorizations/taihu_thqbca_zenodo.json
open_meteo_forecast,meteorology_forecast,Open-Meteo,Hourly forecast API,REST_API,https://api.open-meteo.com/v1/forecast,none,rolling,hourly,model-dependent,"temperature_2m,wind_speed_10m,wind_direction_10m,precipitation,shortwave_radiation",1-3d-forcing;7-15d-trend,service-availability-and-attribution,V1_live,P1,运行配置已落地；生产使用前确认服务条款,runtime_configured,Open-Meteo_terms_review,conditional,conditional,Open-Meteo API and underlying providers; comply with current terms and attribution,storage/manifests/authorizations/open_meteo_forecast.json
mee_water_station_protocol,water_quality,生态环境部,HJ1404 surface-water automatic station protocol,STANDARD,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/jcffbz/202501/t20250126_1101554.shtml,station-gateway-credentials,2025-present,stream,station,"station_id,time,parameter_code,value,status,chlorophyll_a,algae_density",1-3d;7-15d,open-standard-but-station-permission-required,V2_official,P0,协议已登记；匿名太湖实时接口未验证，待授权文件,config_only_pending_adapter,official_portal_or_standard_terms_review,pending_review,pending_review,"Official portal or national standard; verify access, citation and redistribution terms",storage/manifests/authorizations/mee_water_station_protocol.json
tba_taihu_portal,hydrology,水利部太湖流域管理局,Taihu Basin Authority official portal,HTML_PUBLIC,https://www.tba.gov.cn/,none-for-public-page,current,page-update,station,"water_level,inflow_discharge,outflow_discharge,flow_velocity",1-3d;7-15d,public-page-no-documented-api,V2_official,P0,页面入口已登记；稳定机器接口待确认,config_only_pending_adapter,official_portal_or_standard_terms_review,pending_review,pending_review,"Official portal or national standard; verify access, citation and redistribution terms",storage/manifests/authorizations/tba_taihu_portal.json
niglas_lake_geodata,taihu_water_quality_remote_sensing_reference,NIGLAS/NESDC Lake-Watershed data center,Taihu water-quality and ecology reference portal,ORDER_PORTAL,https://lake.geodata.cn/feature.html,login-or-order,historical,periodic-or-static,station-or-grid,"chlorophyll_a,algae_density,water_temperature,remote_bloom_area_km2,bloom_flag,meteorology",historical-training-and-calibration,metadata-public-data-order-and-reuse-review,V2_official,P1,元数据页面已验证；样例/全文数据需平台订单,config_only_pending_adapter,unknown_dataset_terms_review,pending_review,pending_review,Source-specific license and attribution terms require verification,storage/manifests/authorizations/niglas_lake_geodata.json
earth_search_sentinel2_l2a,remote_sensing,Element 84/AWS Open Data,Copernicus Sentinel-2 Collection 1 L2A COG,STAC_COG_PUBLIC,https://earth-search.aws.element84.com/v1/search,none,2015-present,revisit,10m-20m,"B02,B03,B04,B05,B08,B11,SCL,NDCI,MCI,FAI",current-state-and-retrieval,Copernicus-Sentinel-terms,V1_live,P0,已真实下载七个裁剪波段并固化SHA256,runtime_verified,Copernicus_Sentinel_terms,conditional,conditional,Copernicus Sentinel data via Element 84 Earth Search / AWS Open Data,storage/manifests/authorizations/earth_search_sentinel2_l2a.json
zenodo_taihu_insitu_10434391,calibration,Zenodo/NIGLAS,Taihu satellite-ground synchronous water dataset,API_FILE_DIRECT,https://zenodo.org/api/records/10434391,none,2020-2023,three-campaigns,point,"chlorophyll_a,TSM,SDD,water_temperature,Rrs490,Rrs560,Rrs665,Rrs705,Rrs842",retrieval-calibration,record-specific-license-review,V1_live,P0,3个文件已下载且官方MD5全部匹配,runtime_verified,Zenodo_record_license_review,pending_review,pending_review,DOI 10.5281/zenodo.10434391; verify record license before redistribution,storage/manifests/authorizations/zenodo_taihu_insitu_10434391.json
open_meteo_ecmwf_seas5,seasonal_forecast,Open-Meteo/ECMWF,Seasonal Forecast API,REST_API,https://seasonal-api.open-meteo.com/v1/seasonal,none,current-90-days,daily,point-ensemble,"temperature_2m,precipitation_sum,shortwave_radiation_sum,wind_speed_10m,ensemble_p10,p90",30-90d-live-inference,Open-Meteo-attribution-and-upstream-terms,V1_live,P0,已真实取得90天且最少51成员集合,runtime_verified,Open-Meteo_terms_review,conditional,conditional,Open-Meteo seasonal API and underlying ECMWF provider,storage/manifests/authorizations/open_meteo_ecmwf_seas5.json
