task_id,phase,task_name,depends_on,priority,status,required_gate,deliverable,verification
P05-01,P05,实现ECMWF Open Data适配器,P03-02;P03-04,P0,DONE,yes,pipeline/sources/ecmwf_open_data.py,"真实72小时起报批次、GRIB原文件、run/cycle/step/member和太湖区域统计完成"
P05-02,P05,装配ECMWF 1至15天预报表,P05-01,P0,DONE,yes,storage/silver/forecast/ecmwf,"真实ECMWF批次已生成forecast_values、日统计和集合分位数字段"
P05-03,P05,实现NOAA GFS备份适配器,P03-02;P03-04,P1,DONE,yes,pipeline/sources/noaa_gfs.py,"真实72小时GFS NOMADS bbox/变量子集，model_name=NOAA_GFS"
P05-04,P05,实现C3S季节预报适配器,P02-03;P03-04,P0,BLOCKED_AUTH,no,pipeline/sources/c3s_seasonal.py,"离线适配器和hindcast/forecast请求计划已完成；缺TAIHU_CDS_API_KEY或.cdsapirc"
P05-05,P05,实现GPM IMERG适配器,P02-04;P03-04,P1,BLOCKED_AUTH,no,pipeline/sources/gpm_imerg.py,"适配器、30分钟/6/24/72小时聚合和缺失策略已完成；缺TAIHU_EARTHDATA_TOKEN"
P05-06,P05,建立预报主备与降级策略,P05-01;P05-03,P0,DONE,yes,config/forecast_source_priority.yml,"ECMWF主、GFS备、Open-Meteo开发兜底且切换留痕"
P06-01,P06,迁移Sentinel-2 STAC适配器,P01-01;P03-01,P0,DONE,yes,pipeline/sources/copernicus_stac.py,"当前CDSE STAC v1真实查询返回16场景/688 assets，场景元数据已保存"
P06-02,P06,实现Sentinel-2资产下载,P02-02;P06-01;P03-02,P0,DONE,yes,pipeline/sources/earth_search_sentinel2.py,"改用无需密钥的Earth Search/AWS COG；真实检索4景并下载1景7个裁剪波段，SHA256完整"
P06-03,P06,Sentinel-2云水体掩膜与裁剪,P01-03;P06-02,P0,DONE,yes,pipeline/sentinel2_retrieval.py,"SCL质量掩膜、水体掩膜和太湖裁剪完成；有效水像元3806490，单瓦片覆盖66.69%"
P06-04,P06,Sentinel-2指数和水华面积,P06-03,P0,BLOCKED_DATA,yes,storage/gold/sentinel2_retrieval_20260802,"NDWI/NDCI/FAI/MCI和FAI单阈值部分面积已输出；缺全湖多瓦片、三阈值与可靠区间"
P06-05,P06,实现CLMS湖泊水质目录适配器,P03-01,P0,DONE,yes,pipeline/sources/clms_lwq.py,"真实目录归档；70条记录中正确选择最新300m V2产品（2026-08-01）"
P06-06,P06,CLMS太湖BYOC裁剪,P02-02;P01-03;P06-05,P0,BLOCKED_AUTH,yes,storage/rasters/clms_lwq,"已生成官方BYOC太湖边界请求计划；缺CDSE OAuth，未伪造栅格"
P06-07,P06,实现Sentinel-3 OLCI适配器,P02-02;P03-02,P2,BLOCKED_AUTH,no,pipeline/sources/sentinel3_olci.py,"已生成官方sentinel-3-olci-l2太湖Process API计划并通过离线响应/质量波段测试；缺CDSE OAuth，未伪造栅格"
P06-08,P06,遥感跨源一致性报告,P06-04;P06-06,P1,BLOCKED_DATA,yes,storage/reports/remote_cross_source_comparison.csv,"仅S2单瓦片真实像元可用；CLMS/S3仍授权阻塞，不能伪造同日跨源比较"
P07-01,P07,实现TBA合规水位适配器,P02-07;P03-01,P0,BLOCKED_POLICY,yes,pipeline/sources/tba_hydrology.py,"已实现合法HTML/人工文件解析、原始HTML哈希、页面/抓取时间和DOM漂移停止发布；官网自动快照仍需明确许可，未伪造水位"
P07-02,P07,验证水利部水雨情接入边界,P02-07,P1,BLOCKED_POLICY,no,storage/manifests/mwr_hfc_probe.json,"官方HFC入口可达但机器API/再分发授权未验证；已完成合规边界探针和人工CSV/JSON/XLSX解析适配器，禁止逆向Ajax"
P07-03,P07,实现GloFAS代理适配器,P02-03;P03-04,P1,BLOCKED_AUTH,no,pipeline/sources/glofas.py,"已生成官方EWDS cems-glofas-forecast区域请求计划并实现NetCDF/GRIB/CSV/JSON解析与集合统计；所有输出固定proxy_flag=1，缺CDS/EWDS凭证未下载"
P07-04,P07,下载湖界和子流域,P01-03;P03-02,P1,DONE,yes,storage/silver/geo/hydrolakes_hydrobasins.gpkg,"真实HydroBASINS亚洲8级文件与现有HydroLAKES边界合并；上游NEXT_DOWN拓扑、质心空间索引、许可证和manifest完整"
P07-05,P07,下载DEM和土地利用,P07-04;P03-02,P1,DONE,yes,storage/silver/geo/static_features.parquet,"真实Copernicus DEM GLO-30和ESA WorldCover 2021瓦片裁剪；高程、坡度、土地利用比例及覆盖质量标志完整"
P07-06,P07,水文跨变量一致性检查,P07-01;P07-03,P1,DONE,yes,storage/reports/hydrology_consistency.csv,"水位跳变、单位、降雨滞后、流量符号策略和实测/网页/代理分列完成；缺失源保持明确阻塞标志"
P08-01,P08,授权水站到件隔离,P02-06,P0,BLOCKED_AUTH,no,storage/raw/authorized_waterstation/inbox,"已建立隔离目录、授权/交付清单校验和SHA-256清单；当前无真实授权delivery，模板不会进入正式清洗"
P08-02,P08,授权文件只读预检,P08-01,P0,BLOCKED_AUTH,no,storage/runs/waterstation_preflight,"只读预检已运行并产出清单、问题、P0汇总和SQLite；当前授权投递区为空，返回blocked_no_valid_files"
P08-03,P08,预检问题回传,P08-02,P0,BLOCKED_AUTH,no,storage/reports/waterstation_preflight_issues.csv,"已生成文件/字段定位问题回传；当前仅有授权缺口P0，空授权投递区禁止进入正式数据库"
P08-04,P08,单文件正式批次验证,P08-02,P0,BLOCKED_AUTH,no,storage/runs/waterstation_single_batch,"已执行只读授权门禁；授权目录无单文件，未运行正式批次，保持数据库不变"
P08-05,P08,授权目录正式批次,P08-04,P0,BLOCKED_AUTH,no,storage/runs/waterstation_directory_batch,"目录批处理已执行只读门禁并产出空清单；无真实授权文件，未进入正式清洗"
P08-06,P08,水站高频覆盖门禁,P08-05,P0,BLOCKED_AUTH,no,storage/reports/waterstation_coverage.csv,"已完成空输入覆盖门禁；11个变量均missing，真实频率/缺口/新鲜度待授权观测后验证"
P08-07,P08,HJ1404在线接口接入,P08-06,P1,BLOCKED_AUTH,no,pipeline/sources/water_station.py,"已完成Token安全门禁和Bearer适配；当前无正式HJ1404 URL/Token，未发起网络请求"
P09-01,P09,文件级检疫,P03-01;P04-01,P0,DONE,yes,storage/reports/file_quarantine.csv,"243文件已完成只读检疫；161条问题/重复记录已审计，RAR未检验明确标记"
P09-02,P09,标准化字段单位时区坐标,P01-04;P01-05;P01-06;P09-01,P0,DONE,yes,pipeline/normalize.py,"已完成字段别名、类型、单位、时区、坐标与显式站点映射；raw_value/raw_unit全链路保留"
P09-03,P09,物理范围QC,P09-02,P0,DONE,yes,pipeline/qc.py,"规则版本1.0.0；硬范围Q04进入rejected，软范围Q12进入suspect_records且保留原值"
P09-04,P09,时间质量QC,P09-02,P0,DONE,yes,pipeline/qc.py,"Q13/Q14/Q15硬拒绝，Q16/Q17进入suspect；支持间隔中位数跳变和水质传感器卡死检测"
P09-05,P09,单变量异常QC,P09-02,P0,DONE,yes,pipeline/qc.py,"Hampel/MAD Q18、变化率 Q19、卡死 Q17；软异常进入suspect且保留原值"
P09-06,P09,多变量机理一致性QC,P09-03;P09-05,P1,DONE,yes,pipeline/qc.py,"Q25-Q29跨变量一致性仅标记suspect，不无证据删除"
P09-07,P09,空间质量QC,P01-03;P09-02,P0,DONE,yes,pipeline/qc.py,"Q36-Q40识别坐标交换、0/0、边界外站点、漂移和CRS；保留原值并可审计"
P09-08,P09,冲突和去重策略,P09-02,P0,DONE,yes,pipeline/clean.py,"完全重复去重、Q41冲突进入pending；跨源同变量不覆盖"
P09-09,P09,统一质量报告,P09-03;P09-04;P09-05;P09-06;P09-07;P09-08,P0,DONE,yes,storage/reports/data_quality_report,"按来源/变量输出缺失、异常、插补、代理、覆盖和新鲜度；含Q25-Q41审计"
P10-01,P10,缺失机制分类,P09-09,P0,DONE,yes,pipeline/impute.py,"接口失败、低频、云和质量拒绝可区分；短/长/边缘缺口策略分离"
P10-02,P10,高频短缺口插补,P10-01,P0,DONE,yes,pipeline/impute.py,"仅对高频双侧短缺口插补；方法、供体、缺口起止、步数和采样区间完整"
P10-03,P10,长缺口不确定性处理,P10-01,P0,DONE,yes,pipeline/impute.py,"无静默前向填充；保留clean_value为空并输出不确定性、observed_flag=0和imputation_flag=1"
P10-04,P10,低频营养盐处理,P10-01,P0,DONE,yes,pipeline/impute.py,"保持原生周/月/季度频率；不扩展日值并输出data_age、latest_value和feature_age"
P10-05,P10,风向u-v插补,P10-01,P1,DONE,yes,pipeline/impute.py,"0/360度边界和静风测试通过"
P10-06,P10,遥感云缺失策略,P06-08;P10-01,P1,BLOCKED_DATA,yes,pipeline/impute.py,"已保留SCL无效像元且不时序伪填；缺第二遥感源，跨源融合策略无法实证验收"
P10-07,P10,多频率重采样,P10-02;P10-04;P10-05,P0,DONE,yes,pipeline/resample.py,"状态变量和通量变量聚合规则正确"
P10-08,P10,时间对齐,P10-07,P0,DONE,yes,pipeline/align.py,"返回时间差且遵守地面卫星窗口"
P10-09,P10,空间对齐,P01-03;P10-08,P0,DONE,yes,pipeline/align.py,"站点缓冲、300m网格和湖区统计正确"
P10-10,P10,插补掩蔽误差实验,P10-02;P10-03;P10-04,P0,DONE,yes,storage/reports/imputation_validation.csv,"按变量报告5/10/20%遮蔽MAE和RMSE"
P11-01,P11,构建地面卫星配对表,P08-05;P06-04,P0,DONE,no,storage/silver/taihu_insitu/taihu_insitu_calibration_samples.parquet,"Zenodo同步样本41条、3个日期，坐标/时间/光谱/Chl-a齐全"
P11-02,P11,配对质量门禁,P11-01,P0,DONE,no,storage/manifests/taihu_insitu_parse.json,"文件MD5一致、字段完整；仅3个日期的限制保留"
P11-03,P11,训练Chl-a反演基线,P11-02,P0,DONE,no,storage/gold/chlorophyll_calibration,"线性与随机森林按留一日期比较，随机森林入选"
P11-04,P11,评估Chl-a独立测试,P11-03,P0,DONE,no,storage/gold/chlorophyll_calibration/manifest.json,"留一日期RMSE6.4197、MAE5.0934、R2=-0.870，明确低泛化不通过业务门禁"
P11-05,P11,构建藻密度或概率输出,P08-05;P06-06,P0,BLOCKED_DATA,no,storage/gold/targets/algae_targets.parquet,"无可靠藻密度/概率真值，不输出虚假cells/L或伪概率"
P11-06,P11,计算水华面积与区间,P06-04;P06-06,P0,BLOCKED_DATA,yes,storage/gold/sentinel2_retrieval_20260802,"仅完成FAI单阈值部分湖面35.0148km2；缺全湖多瓦片、三阈值和可靠区间"
P11-07,P11,跨传感器验证,P11-06;P06-08,P1,BLOCKED_DATA,yes,storage/reports/remote_validation.csv,"缺同日S2/S3/CLMS全湖有效产品和独立真值"
P11-08,P11,生成反演模型卡,P11-04;P11-05;P11-07,P0,DONE,yes,storage/reports/final_retrieval_acceptance.json,"模型、特征、留一日期指标、66.69%覆盖、100%域外和禁止业务使用限制完整"
P12-01,P12,构建直接特征,P09-09;P10-09,P0,DONE,yes,storage/gold/integrated_daily_features,"23891湖泊日、36直接变量、148626血缘行，1956-2026"
P12-02,P12,构建滞后与滚动特征,P12-01,P0,DONE,yes,storage/gold/integrated_lag_rolling_features,"1728个滞后/滚动特征仅使用过去窗口，泄漏违规0"
P12-03,P12,构建机理衍生特征,P12-01,P0,DONE,yes,storage/gold/integrated_mechanistic_features,"温度、Monod营养限制、光、低风、水位和物候；无岸向风方向时保持空值"
P12-04,P12,构建可信度特征,P12-01,P0,DONE,yes,storage/gold/integrated_reliability_features,"23891行、82933非空直接单元；无法证明的像元/插补/校准不确定度保持空值"
P12-05,P12,生成1至3天数据集,P05-02;P12-02;P12-03;P12-04;P11-06,P0,DONE,yes,storage/gold/integrated_horizon_datasets/dataset_h1_3d.parquet,"192条真实未来观测标签、64目标日期、泄漏0"
P12-06,P12,生成7至15天数据集,P05-02;P12-02;P12-03;P12-04;P11-06,P0,DONE,yes,storage/gold/integrated_horizon_datasets/dataset_h7_15d.parquet,"576条真实未来观测标签、64目标日期、不插值日标签、泄漏0"
P12-07,P12,生成30至90天数据集,P05-04;P12-02;P12-03;P12-04,P0,BLOCKED_AUTH,no,storage/gold/integrated_horizon_datasets/candidate_dataset_h30_90d.parquet,"3904条候选标签和当前90天集合已取得；缺C3S历史hindcast，正式集不生成"
P12-08,P12,扩展多目标horizon标签,P12-05;P12-06;P12-07,P0,BLOCKED_DATA,yes,pipeline/horizon_datasets.py,"已记录observed来源/类型且不插值；缺可靠Chl-a、全湖面积、藻密度和风险真值"
P12-09,P12,无泄漏训练验证测试拆分,P12-08,P0,DONE,yes,storage/releases/taihu_public_v1/horizons,"按64个目标采样日期原子分组70/15/15，集合交集0、时序违规0"
P12-10,P12,生成三套数据卡,P12-09,P0,DONE,yes,storage/releases/taihu_public_v1,"三时域均有范围、样本、目标、缺失、许可、偏差；长期卡明确BLOCKED_AUTH"
P13-01,P13,生成版本化SQLite,P03-04;P12-09,P0,DONE,yes,storage/releases/taihu_public_v1/taihu_clean_2026.08.19-v1.sqlite,"schema1.0.0、数据版本、日期索引齐全；宽表审计投影，完整字段在Parquet"
P13-02,P13,导出标准CSV和Parquet,P13-01,P0,DONE,yes,storage/releases/taihu_public_v1/tables,"核心表UTF-8 CSV、宽表样例CSV、完整类型Parquet"
P13-03,P13,交付遥感COG和索引,P11-06;P13-01,P1,DONE,yes,storage/releases/taihu_public_v1/tables/remote_raster_index.csv,"5个实验GeoTIFF路径、状态和SHA256可查，不进入SQLite BLOB"
P13-04,P13,统一CLI JSON返回契约,P13-01,P0,DONE,yes,pipeline/response_contract.py,"59个CLI出口向后兼容地统一status/run_id/计数/outputs/manifest/warnings/next_action"
P13-05,P13,建立再分发过滤,P01-07;P13-02,P0,DONE,yes,storage/releases/taihu_public_v1/tables/source_inventory_shareable.csv,"仅明确允许项进入shareable；pending_review保守排除"
P13-06,P13,跨格式与全链路抽样核对,P13-02;P13-03,P0,DONE,yes,storage/reports/delivery_reconciliation.csv,"观测/QC各100行CSV-Parquet一致；Gold血缘100行追溯原始文件"
P14-01,P14,建立调度配置,P05-06;P06-08;P07-06,P1,DONE,yes,config/schedule.yml,"各源频率、Asia/Shanghai时区、授权阻塞启停状态明确"
P14-02,P14,实现批次锁和并发保护,P14-01,P1,DONE,yes,pipeline/operations.py,"同源同窗原子锁；活动锁拒绝并发，过期锁留痕"
P14-03,P14,实现重试限流,P14-01,P1,DONE,yes,pipeline/operations.py,"429/5xx/网络错误指数退避，401/403立即停止"
P14-04,P14,实现源新鲜度告警,P03-06;P14-01,P1,DONE,yes,pipeline/source_health.py,"过期、连续3次失败、字段覆盖低于80%和空响应告警"
P14-05,P14,执行故障注入,P14-02;P14-03;P14-04,P0,DONE,yes,storage/reports/p14_historical_replay.json,"429/503/401/网络中断及既有半文件/schema/重复测试均不覆盖稳定版"
P14-06,P14,七日运行或历史回放,P14-05,P0,DONE,yes,storage/reports/p14_historical_replay.json,"7个连续窗口历史回放完成并明确不是真实七日运行"
P14-07,P14,执行恢复演练,P14-06,P0,DONE,yes,storage/releases/taihu_public_v1/release_manifest.json,"首次SQLite列限制失败后由已冻结Gold输入重建成功，稳定原始/Gold未覆盖"
P15-01,P15,最终全量测试,P14-07,P0,DONE,yes,storage/reports/final_pytest.txt,"最终轮278通过、0失败，耗时736.12秒"
P15-02,P15,完成接入验收表,P15-01,P0,DONE,yes,storage/reports/final_source_acceptance.csv,"逐源记录真实证据、接口、时间、变量、授权和许可风险"
P15-03,P15,完成数据质量验收,P15-01,P0,DONE,yes,storage/reports/final_data_quality.json,"788383输入、772814清洁、426拒绝、9927可疑、15070问题、2958长缺口"
P15-04,P15,完成反演验收,P11-08;P15-01,P0,DONE,yes,storage/reports/final_retrieval_acceptance.json,"41真值、留一日期指标齐全；结论明确不接受为业务真值"
P15-05,P15,完成三时域无泄漏验收,P12-10;P15-01,P0,DONE,yes,storage/reports/final_horizon_audit.csv,"每时域抽10条，特征时间均早于目标；长期标识不可训练"
P15-06,P15,同步全部文档,P15-02;P15-03;P15-04;P15-05,P0,DONE,yes,README.md;docs,"README、数据字典、接入报告、最终审计与机器状态一致"
P15-07,P15,冻结数据版本和checksum,P15-06,P0,DONE,yes,storage/releases/taihu_public_v1/final_release_manifest.json,"版本2026.08.19-v1，133个正式数据/代码/配置/文档文件逐项SHA256；旧长期候选试运行已移出发布目录归档"
P15-08,P15,生成最终交付包,P15-07,P0,DONE,yes,storage/releases/taihu_public_v1,"含公开代码、无密钥配置、文档、SQLite、CSV/Parquet和报告；不含密钥/身份证明/待审原始资产"
